"key","message","comment","context"
"Accounting","Contabilidad",,""
"Chart of accounts","Plan de cuentas",,""
"Account tree","Árbol de cuentas",,""
"Accounting roles","Funciones contables",,""
"Accounting setup","Configuración contable",,""
"Company must be active.","Debe seleccionar una compañía activa para continuar.",,""
"You do not have access to the account company.","No tiene acceso a la compañía de la cuenta.",,""
"Account code already exists.","El código de cuenta ya existe.",,""
"Parent account belongs to another company.","La cuenta padre pertenece a otra compañía.",,""
"An account cannot be its own parent.","Una cuenta no puede ser su propio padre.",,""
"Chart account hierarchy contains a cycle.","La jerarquía del plan de cuentas contiene un ciclo.",,""
"A posting account cannot have child accounts.","Una cuenta de movimiento no puede tener cuentas hijas.",,""
"Cannot archive an account with active children.","No puede archivar una cuenta con hijos activos.",,""
"Cannot archive an account used by an active accounting setup.","No puede archivar una cuenta utilizada por una configuración contable.",,""
"Selected account does not allow postings.","La cuenta seleccionada no permite movimientos.",,""
"Accounting role already exists.","La función contable ya existe.",,""
"Cannot modify a system accounting role.","No puede modificar una función contable del sistema.",,""
"Cannot archive a system accounting role.","No puede archivar una función contable del sistema.",,""
"Account belongs to another company.","La cuenta pertenece a otra compañía.",,""
"Branch belongs to another company.","La sucursal pertenece a otra compañía.",,""
"Accounting setup already exists.","La configuración contable ya existe.",,""
"Accounting setup creates an ambiguous resolution.","La configuración contable genera una resolución ambigua.",,""
"No account is configured for the selected accounting role.","No existe una cuenta configurada para la función seleccionada.",,""
"Multiple accounting setups apply with the same priority.","Existen varias configuraciones contables aplicables con la misma prioridad.",,""
"Account normal balance is incompatible with the accounting role.","La naturaleza de la cuenta no es compatible con la función contable.",,""
"Account type is incompatible with the system accounting role.","El tipo de cuenta no es compatible con la función contable del sistema.",,""
"Document type is not compatible with document group.","El tipo documental no es compatible con el grupo documental.",,""
"Accounting periods","Periodos contables",,""
"Accounting period","Periodo contable",,""
"Accounting period code is required.","El código del periodo contable es obligatorio.",,""
"Accounting period name is required.","El nombre del periodo contable es obligatorio.",,""
"Start date is required.","La fecha inicial es obligatoria.",,""
"End date is required.","La fecha final es obligatoria.",,""
"End date cannot be before start date.","La fecha final no puede ser anterior a la fecha inicial.",,""
"Accounting period code already exists.","El código del periodo contable ya existe.",,""
"Accounting period overlaps another accounting period.","El periodo se superpone con otro periodo contable.",,""
"Accounting period is still in draft.","El periodo contable todavía está en borrador.",,""
"Accounting period is closed.","El periodo contable está cerrado.",,""
"Only a draft period can be opened.","Solo puede abrir un periodo en borrador.",,""
"Only an open period can be closed.","Solo puede cerrar un periodo abierto.",,""
"Only a closed period can be reopened.","Solo puede reabrir un periodo cerrado.",,""
"You do not have permission to reopen accounting periods.","No tiene permiso para reabrir periodos contables.",,""
"Accounting period company cannot be changed.","No puede cambiar la compañía del periodo.",,""
"Only draft periods can be archived.","Solo puede archivar periodos en borrador.",,""
"No accounting period exists for the selected date.","No existe un periodo contable para la fecha seleccionada.",,""
"Multiple accounting periods apply to the same date.","Existen varios periodos contables aplicables a la misma fecha.",,""
